crop_size,color_space,blur_method,bilateral_d,gaussian_ksize,use_clahe,polarity_margin,accuracy
26,lab,none,5,3,False,0.2,0.184800
32,hsv,none,5,3,False,0.1,0.184800
18,gray,none,5,3,True,0.2,0.184200
22,hsv,none,5,3,False,0.2,0.184200
26,lab,none,5,3,False,0.3,0.184200
18,hsv,gaussian,5,5,True,0.1,0.184200
32,lab,bilateral,5,3,False,0.1,0.184000
32,hsv,bilateral,9,3,False,0.3,0.183800
18,lab,gaussian,5,5,True,0.3,0.183800
26,hsv,gaussian,5,5,False,0.1,0.183600
26,hsv,bilateral,5,3,False,0.1,0.183600
32,lab,gaussian,5,3,False,0.3,0.183600
32,hsv,gaussian,5,5,False,0.3,0.183400
26,gray,gaussian,5,3,False,0.2,0.183400
18,gray,bilateral,9,3,True,0.2,0.183400
18,lab,gaussian,5,5,True,0.1,0.183400
32,gray,none,5,3,False,0.3,0.183200
32,hsv,bilateral,5,3,False,0.1,0.183200
26,hsv,bilateral,9,3,False,0.2,0.183200
26,gray,gaussian,5,3,False,0.3,0.183200
26,lab,bilateral,5,3,False,0.3,0.183000
26,gray,none,5,3,False,0.2,0.182800
32,hsv,gaussian,5,3,False,0.1,0.182800
26,lab,bilateral,9,3,False,0.2,0.182800
18,lab,none,5,3,True,0.2,0.182400
26,gray,gaussian,5,5,False,0.3,0.182400
32,lab,none,5,3,False,0.2,0.182400
22,hsv,gaussian,5,5,False,0.2,0.182200
32,hsv,bilateral,9,3,False,0.2,0.182200
32,lab,bilateral,9,3,False,0.2,0.182200
18,lab,gaussian,5,3,True,0.1,0.182200
18,lab,bilateral,5,3,True,0.3,0.182000
32,gray,none,5,3,False,0.1,0.182000
26,lab,bilateral,5,3,False,0.1,0.181800
32,lab,none,5,3,False,0.1,0.181800
26,gray,gaussian,5,5,False,0.2,0.181400
32,lab,gaussian,5,3,False,0.1,0.181400
32,gray,bilateral,9,3,False,0.3,0.181200
26,lab,bilateral,5,3,False,0.2,0.181000
22,hsv,bilateral,9,3,True,0.1,0.180800
32,hsv,gaussian,5,5,False,0.2,0.180800
32,lab,bilateral,9,3,False,0.1,0.180800
32,gray,bilateral,9,3,False,0.2,0.180600
22,hsv,gaussian,5,5,False,0.1,0.180600
26,gray,bilateral,5,3,False,0.1,0.180600
26,gray,none,5,3,False,0.3,0.180600
32,lab,gaussian,5,5,False,0.3,0.180600
32,lab,gaussian,5,3,False,0.2,0.180400
32,gray,bilateral,5,3,False,0.3,0.180000
26,hsv,bilateral,9,3,False,0.1,0.180000
32,lab,gaussian,5,5,False,0.2,0.179800
32,lab,bilateral,5,3,False,0.2,0.179600
18,hsv,gaussian,5,3,True,0.1,0.179600
22,hsv,bilateral,5,3,False,0.2,0.179400
32,gray,none,5,3,False,0.2,0.178800
26,lab,gaussian,5,3,False,0.1,0.178800
26,lab,bilateral,9,3,False,0.1,0.178800
18,lab,bilateral,9,3,True,0.2,0.178600
32,gray,bilateral,5,3,False,0.2,0.178600
26,gray,bilateral,9,3,False,0.1,0.178400
22,hsv,none,5,3,False,0.1,0.178400
22,lab,bilateral,9,3,False,0.2,0.178400
22,hsv,gaussian,5,3,False,0.3,0.178400
26,gray,bilateral,9,3,False,0.2,0.178000
22,gray,gaussian,5,5,False,0.2,0.178000
32,hsv,gaussian,5,5,False,0.1,0.178000
22,lab,gaussian,5,5,False,0.1,0.178000
26,gray,bilateral,5,3,False,0.2,0.177800
18,hsv,bilateral,9,3,True,0.2,0.177800
32,lab,gaussian,5,5,False,0.1,0.177800
22,hsv,gaussian,5,3,False,0.2,0.177400
32,hsv,bilateral,9,3,False,0.1,0.177200
32,gray,bilateral,5,3,False,0.1,0.177000
22,gray,gaussian,5,5,False,0.1,0.177000
26,gray,bilateral,5,3,False,0.3,0.176600
32,gray,gaussian,5,3,False,0.2,0.176600
22,lab,gaussian,5,3,False,0.2,0.176600
26,gray,gaussian,5,5,False,0.1,0.176600
32,gray,gaussian,5,3,False,0.1,0.176600
18,hsv,none,5,3,True,0.3,0.176200
22,hsv,gaussian,5,3,False,0.1,0.176200
26,lab,gaussian,5,5,False,0.1,0.176200
26,gray,bilateral,9,3,False,0.3,0.176000
26,gray,gaussian,5,3,False,0.1,0.176000
32,gray,gaussian,5,5,False,0.3,0.176000
22,hsv,gaussian,5,5,False,0.3,0.176000
18,lab,none,5,3,True,0.3,0.175800
18,hsv,bilateral,5,3,True,0.2,0.175800
22,hsv,none,5,3,False,0.3,0.175400
32,gray,gaussian,5,3,False,0.3,0.175400
18,hsv,bilateral,9,3,True,0.3,0.175400
18,hsv,bilateral,5,3,True,0.3,0.175200
18,hsv,bilateral,5,3,True,0.1,0.175200
22,hsv,bilateral,9,3,False,0.2,0.175000
22,hsv,bilateral,5,3,False,0.3,0.174800
22,gray,gaussian,5,5,False,0.3,0.174600
22,lab,gaussian,5,5,False,0.3,0.174400
32,gray,bilateral,9,3,False,0.1,0.174400
32,gray,gaussian,5,5,False,0.2,0.174200
22,lab,bilateral,5,3,False,0.2,0.174200
22,lab,gaussian,5,5,False,0.2,0.174200
22,lab,none,5,3,False,0.2,0.173800
22,lab,none,5,3,False,0.1,0.173800
18,hsv,none,5,3,True,0.2,0.173800
18,gray,bilateral,9,3,True,0.3,0.173600
22,hsv,bilateral,9,3,False,0.3,0.173600
18,lab,bilateral,9,3,True,0.3,0.173400
22,lab,gaussian,5,3,False,0.3,0.173200
18,hsv,bilateral,9,3,True,0.1,0.173200
22,hsv,bilateral,5,3,False,0.1,0.173200
18,gray,bilateral,5,3,True,0.1,0.172400
22,gray,bilateral,9,3,False,0.2,0.172200
18,lab,bilateral,5,3,True,0.1,0.172000
18,gray,none,5,3,True,0.3,0.172000
22,lab,bilateral,5,3,False,0.1,0.171200
18,lab,bilateral,9,3,True,0.1,0.171000
22,lab,gaussian,5,3,False,0.1,0.170800
22,gray,bilateral,5,3,False,0.2,0.170600
22,lab,bilateral,9,3,False,0.1,0.170400
22,lab,bilateral,9,3,False,0.3,0.170000
18,gray,none,5,3,True,0.1,0.170000
22,gray,none,5,3,False,0.2,0.169800
22,lab,none,5,3,False,0.3,0.169600
22,hsv,bilateral,9,3,False,0.1,0.169200
22,gray,gaussian,5,3,False,0.1,0.169200
18,hsv,none,5,3,True,0.1,0.168600
22,gray,gaussian,5,3,False,0.2,0.168000
22,lab,bilateral,5,3,False,0.3,0.168000
22,gray,none,5,3,False,0.1,0.167000
22,gray,bilateral,5,3,False,0.1,0.166600
18,hsv,none,5,3,False,0.1,0.166200
18,gray,bilateral,9,3,True,0.1,0.166000
18,hsv,gaussian,5,3,False,0.3,0.166000
32,gray,gaussian,5,5,False,0.1,0.166000
22,gray,bilateral,9,3,False,0.1,0.166000
18,lab,none,5,3,False,0.2,0.165800
18,lab,bilateral,5,3,False,0.2,0.165600
22,gray,gaussian,5,3,False,0.3,0.164600
22,gray,none,5,3,False,0.3,0.164400
18,hsv,gaussian,5,3,False,0.2,0.164200
18,gray,bilateral,9,3,False,0.2,0.164000
18,hsv,bilateral,5,3,False,0.2,0.163600
18,hsv,none,5,3,False,0.2,0.163600
18,lab,bilateral,9,3,False,0.2,0.163600
18,lab,none,5,3,True,0.1,0.163600
22,gray,bilateral,9,3,False,0.3,0.163200
18,lab,gaussian,5,3,False,0.1,0.163000
18,lab,gaussian,5,3,False,0.3,0.162800
